"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Ignore", "Log", "comment", "blank", "total"
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\clientReady.ts", "TypeScript", 0, 31, 0, 0, 0, 1, 5, 37
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\commandLog.ts", "TypeScript", 0, 74, 0, 0, 0, 5, 6, 85
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\deletePinnedMessageAlerte.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildBanAdd.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildBanRemove.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildMemberAdd.ts", "TypeScript", 0, 30, 0, 0, 0, 1, 4, 35
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\guildMemberRemove.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\inviteCreate.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 5, 52
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\inviteDelete.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 5, 52
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\messageDeleteBulk.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 5, 42
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\roleCreate.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\roleDelete.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\listeners\userMissingPermission.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\tools\export.ts", "TypeScript", 0, 95, 0, 0, 0, 18, 17, 130
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\tools\language.json", "JSON", 1032, 0, 0, 0, 0, 0, 0, 1032
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\type.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\util\appConfig.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 37
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\util\channelGame.json", "JSON", 1212, 0, 0, 0, 0, 0, 51, 1263
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\src\util\customEmbed.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\DiscordBot\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 21
"Total", "-", 4379, 1324, 21, 1, 4, 2575, 370, 8674
